Mapped_sgRNA_sequence	Chrom	Start	End	Strand
4|sgRBM23_3|RBM23	chr14	22906178	22906198	+
4|sgRBM23_4|RBM23	chr14	22908348	22908368	-
4|sgPRMT5_2|PRMT5	chr14	22924276	22924296	-
4|sgPRMT5_3|PRMT5	chr14	22924636	22924656	+
4|sgPRMT5_4|PRMT5	chr14	22926735	22926755	-
4|sgPRMT5_1|PRMT5	chr14	22928130	22928150	-
4|sgHAUS4_3|HAUS4	chr14	22947992	22948012	-
4|sgHAUS4_2|HAUS4	chr14	22951543	22951563	+
4|sgHAUS4_4|HAUS4	chr14	22951644	22951664	-
4|sgHAUS4_1|HAUS4	chr14	22952554	22952574	-
4|sgAJUBA_2|AJUBA	chr14	22981342	22981362	+
4|sgAJUBA_4|AJUBA	chr14	22981615	22981635	-
4|sgAJUBA_1|AJUBA	chr14	22981940	22981960	+
4|sgAJUBA_3|AJUBA	chr14	22982133	22982153	+
4|sgC14orf93_1|C14orf93	chr14	22996195	22996215	+
4|sgC14orf93_3|C14orf93	chr14	22998629	22998649	-
4|sgC14orf93_2|C14orf93	chr14	22998803	22998823	+
4|sgC14orf93_4|C14orf93	chr14	22998934	22998954	-
4|sgPSMB5_1|PSMB5	chr14	23033375	23033395	-
4|sgPSMB5_4|PSMB5	chr14	23033422	23033442	+
4|sgPSMB5_3|PSMB5	chr14	23034694	23034714	-
4|sgPSMB5_2|PSMB5	chr14	23034834	23034854	-
4|sgPSMB11_1|PSMB11	chr14	23042463	23042483	-
4|sgPSMB11_2|PSMB11	chr14	23042532	23042552	+
4|sgPSMB11_4|PSMB11	chr14	23042624	23042644	+
4|sgPSMB11_3|PSMB11	chr14	23042778	23042798	-
4|sgCDH24_2|CDH24	chr14	23053493	23053513	-
4|sgCDH24_4|CDH24	chr14	23053671	23053691	-
4|sgCDH24_1|CDH24	chr14	23054310	23054330	-
4|sgCDH24_3|CDH24	chr14	23055333	23055353	-
4|sgACIN1_2|ACIN1	chr14	23079637	23079657	-
4|sgACIN1_3|ACIN1	chr14	23079889	23079909	-
4|sgACIN1_4|ACIN1	chr14	23080619	23080639	-
4|sgACIN1_1|ACIN1	chr14	23094976	23094996	-
4|sgC14orf119_3|C14orf119	chr14	23097721	23097741	-
4|sgC14orf119_2|C14orf119	chr14	23097745	23097765	-
4|sgC14orf119_1|C14orf119	chr14	23097813	23097833	+
4|sgC14orf119_4|C14orf119	chr14	23097922	23097942	-
4|sgCEBPE_3|CEBPE	chr14	23118576	23118596	+
4|sgCEBPE_2|CEBPE	chr14	23118648	23118668	-
4|sgCEBPE_1|CEBPE	chr14	23118946	23118966	+
4|sgCEBPE_4|CEBPE	chr14	23119027	23119047	-
4|sgSLC7A8_2|SLC7A8	chr14	23139494	23139514	+
4|sgSLC7A8_1|SLC7A8	chr14	23143094	23143114	+
4|sgSLC7A8_4|SLC7A8	chr14	23143177	23143197	+
4|sgSLC7A8_3|SLC7A8	chr14	23182758	23182778	+
4|sgRNF212B_4|RNF212B	chr14	23240423	23240443	+
4|sgRNF212B_2|RNF212B	chr14	23258583	23258603	-
4|sgRNF212B_3|RNF212B	chr14	23262665	23262685	+
4|sgRNF212B_1|RNF212B	chr14	23264184	23264204	-
4|sgHOMEZ_1|HOMEZ	chr14	23276691	23276711	-
4|sgHOMEZ_3|HOMEZ	chr14	23276840	23276860	-
4|sgHOMEZ_2|HOMEZ	chr14	23276938	23276958	+
4|sgHOMEZ_4|HOMEZ	chr14	23285931	23285951	+
4|sgPPP1R3E_2|PPP1R3E	chr14	23301792	23301812	+
4|sgPPP1R3E_1|PPP1R3E	chr14	23302212	23302232	-
4|sgPPP1R3E_4|PPP1R3E	chr14	23302294	23302314	-
4|sgPPP1R3E_3|PPP1R3E	chr14	23302498	23302518	+
4|sgBCL2L2_1|BCL2L2	chr14	23307813	23307833	+
4|sgBCL2L2-PABPN1_2|BCL2L2-PABPN1	chr14	23307833	23307853	+
4|sgBCL2L2_3|BCL2L2	chr14	23307988	23308008	+
4|sgBCL2L2_2|BCL2L2	chr14	23308051	23308071	-
4|sgBCL2L2_4|BCL2L2	chr14	23308084	23308104	+
4|sgPABPN1_3|PABPN1	chr14	23321592	23321612	+
4|sgPABPN1_2|PABPN1	chr14	23321663	23321683	+
4|sgPABPN1_4|PABPN1	chr14	23321726	23321746	-
4|sgBCL2L2-PABPN1_1|BCL2L2-PABPN1	chr14	23322188	23322208	+
4|sgBCL2L2-PABPN1_3|BCL2L2-PABPN1	chr14	23322285	23322305	-
4|sgBCL2L2-PABPN1_4|BCL2L2-PABPN1	chr14	23323039	23323059	+
4|sgSLC22A17_1|SLC22A17	chr14	23348260	23348280	+
4|sgSLC22A17_3|SLC22A17	chr14	23349278	23349298	+
4|sgSLC22A17_4|SLC22A17	chr14	23349397	23349417	+
4|sgSLC22A17_2|SLC22A17	chr14	23352004	23352024	+
4|sgEFS_3|EFS	chr14	23359380	23359400	-
4|sgEFS_2|EFS	chr14	23359768	23359788	-
4|sgEFS_1|EFS	chr14	23359972	23359992	+
4|sgEFS_4|EFS	chr14	23360748	23360768	+
4|sgIL25_2|IL25	chr14	23373171	23373191	-
4|sgIL25_4|IL25	chr14	23373327	23373347	-
4|sgIL25_1|IL25	chr14	23373385	23373405	-
4|sgIL25_3|IL25	chr14	23375685	23375705	-
4|sgCMTM5_4|CMTM5	chr14	23377268	23377288	+
4|sgCMTM5_1|CMTM5	chr14	23377304	23377324	+
4|sgCMTM5_2|CMTM5	chr14	23378406	23378426	-
4|sgCMTM5_3|CMTM5	chr14	23378449	23378469	-
4|sgMYH6_1|MYH6	chr14	23393502	23393522	-
4|sgMYH6_4|MYH6	chr14	23398867	23398887	-
4|sgMYH6_2|MYH6	chr14	23400842	23400862	-
4|sgMYH6_3|MYH6	chr14	23404279	23404299	+
4|sgMYH7_1|MYH7	chr14	23427762	23427782	-
4|sgMYH7_4|MYH7	chr14	23429246	23429266	-
4|sgMYH7_2|MYH7	chr14	23430618	23430638	+
4|sgMYH7_3|MYH7	chr14	23433094	23433114	+
4|sgNGDN_3|NGDN	chr14	23475217	23475237	-
4|sgNGDN_1|NGDN	chr14	23475286	23475306	+
4|sgNGDN_2|NGDN	chr14	23475738	23475758	-
4|sgNGDN_4|NGDN	chr14	23476127	23476147	-
4|sgZFHX2_4|ZFHX2	chr14	23525446	23525466	-
4|sgZFHX2_2|ZFHX2	chr14	23526124	23526144	+
4|sgZFHX2_3|ZFHX2	chr14	23531477	23531497	-
4|sgZFHX2_1|ZFHX2	chr14	23534650	23534670	-
4|sgTHTPA_4|THTPA	chr14	23556860	23556880	-
4|sgTHTPA_1|THTPA	chr14	23556921	23556941	+
4|sgTHTPA_2|THTPA	chr14	23556982	23557002	-
4|sgTHTPA_3|THTPA	chr14	23557189	23557209	+
4|sgAP1G2_4|AP1G2	chr14	23562328	23562348	+
4|sgAP1G2_3|AP1G2	chr14	23563619	23563639	-
4|sgAP1G2_1|AP1G2	chr14	23564085	23564105	-
4|sgAP1G2_2|AP1G2	chr14	23564545	23564565	+
4|sgJPH4_2|JPH4	chr14	23575980	23576000	+
4|sgJPH4_3|JPH4	chr14	23576198	23576218	-
4|sgJPH4_4|JPH4	chr14	23577190	23577210	-
4|sgJPH4_1|JPH4	chr14	23577291	23577311	-
4|sgDHRS2_4|DHRS2	chr14	23638909	23638929	-
4|sgDHRS2_3|DHRS2	chr14	23638962	23638982	+
4|sgDHRS2_2|DHRS2	chr14	23639849	23639869	-
4|sgCXCL1_3|CXCL1	chr14	23643157	23643177	+
4|sgDHRS2_1|DHRS2	chr14	23644406	23644426	-
4|sgDHRS4_3|DHRS4	chr14	23953819	23953839	+
4|sgDHRS4_2|DHRS4	chr14	23953875	23953895	-
4|sgDHRS4_4|DHRS4	chr14	23955156	23955176	+
4|sgDHRS4_1|DHRS4	chr14	23959966	23959986	+
4|sgDHRS4L2_1|DHRS4L2	chr14	23995096	23995116	+
4|sgDHRS4L2_2|DHRS4L2	chr14	23995111	23995131	+
4|sgDHRS4L2_4|DHRS4L2	chr14	24001417	24001437	-
4|sgDHRS4L2_3|DHRS4L2	chr14	24001418	24001438	+
4|sgDHRS4L1_1|DHRS4L1	chr14	24037880	24037900	-
4|sgDHRS4L1_4|DHRS4L1	chr14	24037910	24037930	+
4|sgDHRS4L1_2|DHRS4L1	chr14	24037987	24038007	-
4|sgDHRS4L1_3|DHRS4L1	chr14	24048720	24048740	-
4|sgLRRC16B_3|LRRC16B	chr14	24054753	24054773	-
4|sgLRRC16B_4|LRRC16B	chr14	24055725	24055745	+
4|sgLRRC16B_1|LRRC16B	chr14	24058013	24058033	+
4|sgLRRC16B_2|LRRC16B	chr14	24059999	24060019	-
4|sgCPNE6_1|CPNE6	chr14	24073632	24073652	-
4|sgCPNE6_3|CPNE6	chr14	24074559	24074579	+
4|sgCPNE6_4|CPNE6	chr14	24075178	24075198	+
4|sgCPNE6_2|CPNE6	chr14	24076356	24076376	-
4|sgNRL_2|NRL	chr14	24082503	24082523	-
4|sgNRL_3|NRL	chr14	24082681	24082701	-
4|sgNRL_1|NRL	chr14	24082704	24082724	+
4|sgNRL_4|NRL	chr14	24082776	24082796	-
4|sgPCK2_1|PCK2	chr14	24096985	24097005	-
4|sgPCK2_3|PCK2	chr14	24098232	24098252	+
4|sgPCK2_2|PCK2	chr14	24098483	24098503	-
4|sgPCK2_4|PCK2	chr14	24098576	24098596	+
4|sgDCAF11_3|DCAF11	chr14	24117022	24117042	+
4|sgDCAF11_1|DCAF11	chr14	24118440	24118460	+
4|sgDCAF11_2|DCAF11	chr14	24119191	24119211	+
4|sgDCAF11_4|DCAF11	chr14	24119804	24119824	+
4|sgFITM1_4|FITM1	chr14	24131791	24131811	-
4|sgFITM1_1|FITM1	chr14	24132210	24132230	+
4|sgFITM1_3|FITM1	chr14	24132324	24132344	-
4|sgFITM1_2|FITM1	chr14	24132474	24132494	-
4|sgPSME1_3|PSME1	chr14	24136981	24137001	-
4|sgPSME1_1|PSME1	chr14	24137363	24137383	-
4|sgPSME1_2|PSME1	chr14	24137718	24137738	+
4|sgPSME1_4|PSME1	chr14	24138078	24138098	-
4|sgEMC9_3|EMC9	chr14	24139543	24139563	+
4|sgEMC9_1|EMC9	chr14	24140890	24140910	-
4|sgEMC9_4|EMC9	chr14	24140954	24140974	-
4|sgEMC9_2|EMC9	chr14	24141211	24141231	+
4|sgPSME2_2|PSME2	chr14	24144219	24144239	-
4|sgPSME2_4|PSME2	chr14	24145145	24145165	-
4|sgPSME2_1|PSME2	chr14	24145375	24145395	-
4|sgPSME2_3|PSME2	chr14	24145449	24145469	-
4|sgRNF31_1|RNF31	chr14	24148091	24148111	-
4|sgRNF31_3|RNF31	chr14	24148826	24148846	-
4|sgRNF31_2|RNF31	chr14	24150229	24150249	-
4|sgRNF31_4|RNF31	chr14	24150866	24150886	-
4|sgIRF9_2|IRF9	chr14	24163062	24163082	+
4|sgIRF9_3|IRF9	chr14	24163365	24163385	+
4|sgIRF9_1|IRF9	chr14	24164072	24164092	+
4|sgIRF9_4|IRF9	chr14	24164632	24164652	+
4|sgREC8_4|REC8	chr14	24172739	24172759	+
4|sgREC8_3|REC8	chr14	24173009	24173029	-
4|sgREC8_2|REC8	chr14	24173396	24173416	-
4|sgREC8_1|REC8	chr14	24178128	24178148	-
4|sgIPO4_4|IPO4	chr14	24183659	24183679	-
4|sgIPO4_1|IPO4	chr14	24184308	24184328	-
4|sgIPO4_3|IPO4	chr14	24185287	24185307	-
4|sgIPO4_2|IPO4	chr14	24188375	24188395	-
4|sgTM9SF1_2|TM9SF1	chr14	24192692	24192712	+
4|sgTM9SF1_3|TM9SF1	chr14	24192890	24192910	+
4|sgTM9SF1_4|TM9SF1	chr14	24192990	24193010	+
4|sgTM9SF1_1|TM9SF1	chr14	24194820	24194840	+
4|sgTSSK4_2|TSSK4	chr14	24205982	24206002	+
4|sgTSSK4_4|TSSK4	chr14	24206136	24206156	-
4|sgTSSK4_3|TSSK4	chr14	24207239	24207259	-
4|sgTSSK4_1|TSSK4	chr14	24207317	24207337	+
4|sgCHMP4A_2|CHMP4A	chr14	24211445	24211465	+
4|sgCHMP4A_4|CHMP4A	chr14	24211517	24211537	-
4|sgCHMP4A_1|CHMP4A	chr14	24213434	24213454	-
4|sgCHMP4A_3|CHMP4A	chr14	24213503	24213523	+
4|sgNEDD8-MDP1_4|NEDD8-MDP1	chr14	24214493	24214513	-
4|sgNEDD8-MDP1_1|NEDD8-MDP1	chr14	24215603	24215623	-
4|sgMDP1_2|MDP1	chr14	24215612	24215632	-
4|sgMDP1_4|MDP1	chr14	24215638	24215658	-
4|sgNEDD8-MDP1_3|NEDD8-MDP1	chr14	24215640	24215660	-
4|sgMDP1_3|MDP1	chr14	24215733	24215753	+
4|sgMDP1_1|MDP1	chr14	24215760	24215780	+
4|sgNEDD8_2|NEDD8	chr14	24218158	24218178	-
4|sgNEDD8_3|NEDD8	chr14	24218193	24218213	-
4|sgNEDD8_4|NEDD8	chr14	24218385	24218405	-
4|sgNEDD8_1|NEDD8	chr14	24232247	24232267	-
4|sgGMPR2_4|GMPR2	chr14	24233318	24233338	+
4|sgGMPR2_3|GMPR2	chr14	24233544	24233564	+
4|sgGMPR2_1|GMPR2	chr14	24235761	24235781	+
4|sgGMPR2_2|GMPR2	chr14	24236038	24236058	-
4|sgTINF2_1|TINF2	chr14	24240649	24240669	-
4|sgTINF2_4|TINF2	chr14	24241043	24241063	-
4|sgTINF2_3|TINF2	chr14	24241292	24241312	-
4|sgTINF2_2|TINF2	chr14	24241904	24241924	-
4|sgTGM1_3|TGM1	chr14	24259116	24259136	+
4|sgTGM1_2|TGM1	chr14	24260515	24260535	-
4|sgTGM1_4|TGM1	chr14	24260686	24260706	-
4|sgTGM1_1|TGM1	chr14	24261859	24261879	-
4|sgRABGGTA_2|RABGGTA	chr14	24268367	24268387	-
4|sgRABGGTA_1|RABGGTA	chr14	24268557	24268577	+
4|sgRABGGTA_4|RABGGTA	chr14	24268896	24268916	+
4|sgRABGGTA_3|RABGGTA	chr14	24269089	24269109	+
4|sgDHRS1_1|DHRS1	chr14	24292653	24292673	+
4|sgDHRS1_4|DHRS1	chr14	24296517	24296537	-
4|sgDHRS1_3|DHRS1	chr14	24298989	24299009	+
4|sgDHRS1_2|DHRS1	chr14	24299040	24299060	+
4|sgNOP9_3|NOP9	chr14	24300546	24300566	+
4|sgNOP9_4|NOP9	chr14	24300745	24300765	+
4|sgNOP9_1|NOP9	chr14	24302065	24302085	+
4|sgNOP9_2|NOP9	chr14	24303135	24303155	-
4|sgCIDEB_3|CIDEB	chr14	24306486	24306506	-
4|sgCIDEB_1|CIDEB	chr14	24307410	24307430	-
4|sgCIDEB_2|CIDEB	chr14	24307434	24307454	+
4|sgCIDEB_4|CIDEB	chr14	24307481	24307501	-
4|sgLTB4R2_4|LTB4R2	chr14	24310709	24310729	+
4|sgLTB4R2_1|LTB4R2	chr14	24310866	24310886	-
4|sgLTB4R2_2|LTB4R2	chr14	24311161	24311181	-
4|sgLTB4R2_3|LTB4R2	chr14	24311270	24311290	+
4|sgLTB4R_2|LTB4R	chr14	24315926	24315946	-
4|sgLTB4R_3|LTB4R	chr14	24316109	24316129	-
4|sgLTB4R_1|LTB4R	chr14	24316189	24316209	-
4|sgLTB4R_4|LTB4R	chr14	24316249	24316269	+
4|sgADCY4_1|ADCY4	chr14	24323382	24323402	+
4|sgADCY4_4|ADCY4	chr14	24326134	24326154	+
4|sgADCY4_3|ADCY4	chr14	24329861	24329881	-
4|sgADCY4_2|ADCY4	chr14	24332553	24332573	+
4|sgRIPK3_4|RIPK3	chr14	24337929	24337949	-
4|sgRIPK3_1|RIPK3	chr14	24338006	24338026	+
4|sgRIPK3_3|RIPK3	chr14	24338449	24338469	-
4|sgRIPK3_2|RIPK3	chr14	24339489	24339509	-
4|sgNFATC4_4|NFATC4	chr14	24369572	24369592	-
4|sgNFATC4_3|NFATC4	chr14	24370094	24370114	+
4|sgNFATC4_1|NFATC4	chr14	24370333	24370353	-
4|sgNFATC4_2|NFATC4	chr14	24373219	24373239	+
4|sgNYNRIN_4|NYNRIN	chr14	24408314	24408334	-
4|sgNYNRIN_3|NYNRIN	chr14	24409878	24409898	+
4|sgNYNRIN_1|NYNRIN	chr14	24411440	24411460	-
4|sgNYNRIN_2|NYNRIN	chr14	24415073	24415093	+
4|sgCBLN3_4|CBLN3	chr14	24428299	24428319	+
4|sgCBLN3_3|CBLN3	chr14	24428330	24428350	+
4|sgCBLN3_1|CBLN3	chr14	24428391	24428411	-
4|sgCBLN3_2|CBLN3	chr14	24428830	24428850	+
4|sgKHNYN_1|KHNYN	chr14	24430761	24430781	-
4|sgKHNYN_3|KHNYN	chr14	24431724	24431744	-
4|sgKHNYN_2|KHNYN	chr14	24431978	24431998	+
4|sgKHNYN_4|KHNYN	chr14	24432493	24432513	+
4|sgSDR39U1_1|SDR39U1	chr14	24442179	24442199	-
4|sgSDR39U1_4|SDR39U1	chr14	24442211	24442231	-
4|sgSDR39U1_3|SDR39U1	chr14	24442347	24442367	-
4|sgSDR39U1_2|SDR39U1	chr14	24442400	24442420	-
4|sgCMA1_2|CMA1	chr14	24506207	24506227	-
4|sgCMA1_3|CMA1	chr14	24506467	24506487	+
4|sgCMA1_4|CMA1	chr14	24506566	24506586	-
4|sgCMA1_1|CMA1	chr14	24507377	24507397	-
4|sgCTSG_3|CTSG	chr14	24574357	24574377	-
4|sgCTSG_2|CTSG	chr14	24574459	24574479	-
4|sgCTSG_1|CTSG	chr14	24574699	24574719	+
4|sgCTSG_4|CTSG	chr14	24575349	24575369	+
4|sgGZMB_1|GZMB	chr14	24607678	24607698	+
4|sgGZMH_1|GZMH	chr14	24607701	24607721	-
4|sgGZMH_4|GZMH	chr14	24608289	24608309	+
4|sgGZMH_2|GZMH	chr14	24608349	24608369	+
4|sgGZMH_3|GZMH	chr14	24608399	24608419	-
4|sgGZMB_2|GZMB	chr14	24632027	24632047	-
4|sgGZMB_4|GZMB	chr14	24632059	24632079	+
4|sgGZMB_3|GZMB	chr14	24632999	24633019	+
4|sgSTXBP6_3|STXBP6	chr14	24857028	24857048	-
4|sgSTXBP6_4|STXBP6	chr14	24857077	24857097	+
4|sgSTXBP6_2|STXBP6	chr14	24857136	24857156	-
4|sgSTXBP6_1|STXBP6	chr14	24974702	24974722	-
4|sgAGPAT6_2|AGPAT6	chr14	25432193	25432213	-
1|Neg_Control_Human_GA_0283|NegCtrl	chr14	25803610	25803630	-
4|sgNOVA1_3|NOVA1	chr14	26448513	26448533	+
4|sgNOVA1_4|NOVA1	chr14	26448661	26448681	+
4|sgNOVA1_2|NOVA1	chr14	26479982	26480002	+
4|sgNOVA1_1|NOVA1	chr14	26597298	26597318	-
4|sgBTF3_1|BTF3	chr14	28673636	28673656	-
4|sgFOXG1_2|FOXG1	chr14	28767825	28767845	-
4|sgFOXG1_4|FOXG1	chr14	28767927	28767947	+
4|sgFOXG1_1|FOXG1	chr14	28768059	28768079	+
4|sgFOXG1_3|FOXG1	chr14	28768167	28768187	+
4|sgPRKD1_1|PRKD1	chr14	29636311	29636331	-
4|sgPRKD1_3|PRKD1	chr14	29638491	29638511	+
4|sgPRKD1_4|PRKD1	chr14	29663840	29663860	+
4|sgPRKD1_2|PRKD1	chr14	29927259	29927279	+
4|sgG2E3_3|G2E3	chr14	30592373	30592393	-
4|sgG2E3_4|G2E3	chr14	30602027	30602047	+
4|sgG2E3_2|G2E3	chr14	30607928	30607948	+
4|sgSCFD1_1|SCFD1	chr14	30630518	30630538	-
4|sgSCFD1_2|SCFD1	chr14	30643322	30643342	+
4|sgSCFD1_3|SCFD1	chr14	30653543	30653563	-
4|sgSCFD1_4|SCFD1	chr14	30673912	30673932	+
4|sgCOCH_1|COCH	chr14	30879420	30879440	+
4|sgCOCH_2|COCH	chr14	30880722	30880742	-
4|sgCOCH_4|COCH	chr14	30885487	30885507	+
4|sgCOCH_3|COCH	chr14	30885830	30885850	-
4|sgSTRN3_3|STRN3	chr14	30912120	30912140	+
4|sgSTRN3_1|STRN3	chr14	30918985	30919005	-
4|sgSTRN3_2|STRN3	chr14	30955651	30955671	-
4|sgSTRN3_4|STRN3	chr14	31025959	31025979	-
4|sgAP4S1_4|AP4S1	chr14	31066243	31066263	+
4|sgAP4S1_2|AP4S1	chr14	31066267	31066287	+
4|sgHECTD1_4|HECTD1	chr14	31129155	31129175	-
4|sgHECTD1_2|HECTD1	chr14	31144861	31144881	+
4|sgHECTD1_1|HECTD1	chr14	31150023	31150043	+
4|sgHECTD1_3|HECTD1	chr14	31173750	31173770	-
4|sgHEATR5A_1|HEATR5A	chr14	31323668	31323688	+
4|sgHEATR5A_4|HEATR5A	chr14	31345087	31345107	+
4|sgHEATR5A_2|HEATR5A	chr14	31358651	31358671	-
4|sgHEATR5A_3|HEATR5A	chr14	31388931	31388951	-
4|sgDTD2_4|DTD2	chr14	31448351	31448371	-
4|sgDTD2_1|DTD2	chr14	31453331	31453351	-
4|sgDTD2_2|DTD2	chr14	31457308	31457328	-
4|sgDTD2_3|DTD2	chr14	31457363	31457383	-
4|sgGPR33_3|GPR33	chr14	31483358	31483378	-
4|sgGPR33_2|GPR33	chr14	31483439	31483459	-
4|sgGPR33_1|GPR33	chr14	31483581	31483601	+
4|sgGPR33_4|GPR33	chr14	31483806	31483826	+
4|sgNUBPL_3|NUBPL	chr14	31561525	31561545	-
4|sgNUBPL_1|NUBPL	chr14	31562103	31562123	+
4|sgNUBPL_4|NUBPL	chr14	31562153	31562173	+
4|sgNUBPL_2|NUBPL	chr14	31673371	31673391	-
4|sgARHGAP5_4|ARHGAP5	chr14	32090987	32091007	-
4|sgARHGAP5_2|ARHGAP5	chr14	32092623	32092643	-
4|sgARHGAP5_1|ARHGAP5	chr14	32093022	32093042	-
4|sgARHGAP5_3|ARHGAP5	chr14	32093434	32093454	+
4|sgKIAA1143_2|KIAA1143	chr14	32272245	32272265	-
4|sgAKAP6_3|AKAP6	chr14	32545333	32545353	+
4|sgAKAP6_2|AKAP6	chr14	32546172	32546192	+
4|sgAKAP6_4|AKAP6	chr14	32773682	32773702	-
4|sgAKAP6_1|AKAP6	chr14	32821851	32821871	+
4|sgNPAS3_4|NPAS3	chr14	33215348	33215368	+
4|sgNPAS3_3|NPAS3	chr14	33735210	33735230	-
4|sgNPAS3_1|NPAS3	chr14	33778491	33778511	-
4|sgNPAS3_2|NPAS3	chr14	33799834	33799854	+
4|sgEGLN3_1|EGLN3	chr14	33931166	33931186	-
4|sgEGLN3_4|EGLN3	chr14	33950409	33950429	-
4|sgEGLN3_3|EGLN3	chr14	33950499	33950519	-
4|sgEGLN3_2|EGLN3	chr14	33950686	33950706	+
4|sgSPTSSA_2|SPTSSA	chr14	34435278	34435298	+
4|sgSPTSSA_3|SPTSSA	chr14	34462094	34462114	+
4|sgSPTSSA_4|SPTSSA	chr14	34462143	34462163	-
4|sgSPTSSA_1|SPTSSA	chr14	34462144	34462164	+
4|sgEAPP_4|EAPP	chr14	34524768	34524788	+
4|sgEAPP_1|EAPP	chr14	34533498	34533518	-
4|sgEAPP_2|EAPP	chr14	34536085	34536105	+
4|sgEAPP_3|EAPP	chr14	34539573	34539593	-
4|sgSNX6_2|SNX6	chr14	34603400	34603420	+
4|sgSNX6_1|SNX6	chr14	34605632	34605652	-
4|sgSNX6_4|SNX6	chr14	34608088	34608108	-
4|sgSNX6_3|SNX6	chr14	34629890	34629910	+
4|sgCFL2_3|CFL2	chr14	34713248	34713268	+
4|sgCFL2_4|CFL2	chr14	34713371	34713391	-
4|sgCFL2_2|CFL2	chr14	34713416	34713436	-
4|sgCFL2_1|CFL2	chr14	34713485	34713505	-
4|sgRPL12_1|RPL12	chr14	34740631	34740651	-
4|sgBAZ1A_2|BAZ1A	chr14	34776078	34776098	-
4|sgBAZ1A_3|BAZ1A	chr14	34776305	34776325	+
4|sgBAZ1A_4|BAZ1A	chr14	34785777	34785797	+
4|sgBAZ1A_1|BAZ1A	chr14	34802898	34802918	+
4|sgSRP54_1|SRP54	chr14	34999591	34999611	-
4|sgSRP54_2|SRP54	chr14	35007300	35007320	+
4|sgSRP54_3|SRP54	chr14	35011527	35011547	-
4|sgSRP54_4|SRP54	chr14	35013379	35013399	-
4|sgFAM177A1_3|FAM177A1	chr14	35053271	35053291	+
4|sgFAM177A1_1|FAM177A1	chr14	35053439	35053459	-
4|sgFAM177A1_4|FAM177A1	chr14	35077194	35077214	+
4|sgFAM177A1_2|FAM177A1	chr14	35078977	35078997	-
4|sgPPP2R3C_4|PPP2R3C	chr14	35099334	35099354	-
4|sgPPP2R3C_3|PPP2R3C	chr14	35107293	35107313	+
4|sgPPP2R3C_1|PPP2R3C	chr14	35116664	35116684	-
4|sgPPP2R3C_2|PPP2R3C	chr14	35121935	35121955	-
4|sgKIAA0391_2|KIAA0391	chr14	35123694	35123714	+
4|sgKIAA0391_4|KIAA0391	chr14	35123857	35123877	+
4|sgKIAA0391_1|KIAA0391	chr14	35123980	35124000	+
4|sgKIAA0391_3|KIAA0391	chr14	35124209	35124229	+
4|sgPSMA6_4|PSMA6	chr14	35310797	35310817	+
4|sgPSMA6_3|PSMA6	chr14	35310885	35310905	-
4|sgPSMA6_2|PSMA6	chr14	35312917	35312937	-
4|sgNFKBIA_1|NFKBIA	chr14	35402835	35402855	+
4|sgNFKBIA_4|NFKBIA	chr14	35403329	35403349	+
4|sgNFKBIA_3|NFKBIA	chr14	35404472	35404492	-
4|sgNFKBIA_2|NFKBIA	chr14	35404549	35404569	-
4|sgINSM2_3|INSM2	chr14	35534655	35534675	-
4|sgINSM2_2|INSM2	chr14	35534920	35534940	+
4|sgINSM2_4|INSM2	chr14	35535106	35535126	-
4|sgINSM2_1|INSM2	chr14	35535319	35535339	+
4|sgRALGAPA1_1|RALGAPA1	chr14	35659131	35659151	+
4|sgRALGAPA1_4|RALGAPA1	chr14	35677958	35677978	+
4|sgRALGAPA1_3|RALGAPA1	chr14	35738565	35738585	+
4|sgBRMS1L_4|BRMS1L	chr14	35832983	35833003	+
4|sgBRMS1L_1|BRMS1L	chr14	35833076	35833096	+
4|sgBRMS1L_2|BRMS1L	chr14	35834913	35834933	-
4|sgBRMS1L_3|BRMS1L	chr14	35862636	35862656	+
4|sgMBIP_1|MBIP	chr14	36314544	36314564	-
4|sgMBIP_2|MBIP	chr14	36314837	36314857	-
4|sgMBIP_3|MBIP	chr14	36316717	36316737	+
4|sgMBIP_4|MBIP	chr14	36320506	36320526	-
4|sgSFTA3_4|SFTA3	chr14	36477045	36477065	+
4|sgSFTA3_2|SFTA3	chr14	36491186	36491206	+
4|sgSFTA3_1|SFTA3	chr14	36491203	36491223	+
4|sgSFTA3_3|SFTA3	chr14	36513113	36513133	-
4|sgNKX2-1_1|NKX2-1	chr14	36517834	36517854	-
4|sgNKX2-1_3|NKX2-1	chr14	36517980	36518000	-
4|sgNKX2-1_4|NKX2-1	chr14	36519005	36519025	+
4|sgNKX2-1_2|NKX2-1	chr14	36519143	36519163	-
4|sgNKX2-8_4|NKX2-8	chr14	36581242	36581262	-
4|sgNKX2-8_2|NKX2-8	chr14	36581417	36581437	-
4|sgNKX2-8_3|NKX2-8	chr14	36582245	36582265	+
4|sgNKX2-8_1|NKX2-8	chr14	36582311	36582331	-
1|Neg_Control_Human_GA_0450|NegCtrl	chr14	36657071	36657091	-
4|sgPAX9_3|PAX9	chr14	36662926	36662946	+
4|sgPAX9_2|PAX9	chr14	36663059	36663079	+
4|sgPAX9_4|PAX9	chr14	36663440	36663460	-
4|sgPAX9_1|PAX9	chr14	36663501	36663521	+
4|sgSLC25A21_1|SLC25A21	chr14	36711384	36711404	-
4|sgSLC25A21_4|SLC25A21	chr14	36711452	36711472	+
